Month,International airline passengers: monthly totals in thousands. Jan 49 ? Dec 60,,,
1949-01,112,21.16601049,25.44,0.008928571
1949-02,118,21.72556098,39.24,0.008474576
1949-03,132,22.97825059,74.24,0.007575758
1949-04,129,22.71563338,66.41,0.007751938
1949-05,121,22,46.41,0.008264463
1949-06,135,23.23790008,82.25,0.007407407
1949-07,148,24.33105012,119.04,0.006756757
1949-08,148,24.33105012,119.04,0.006756757
1949-09,136,23.32380758,84.96,0.007352941
1949-10,119,21.81742423,41.61,0.008403361
1949-11,104,20.39607805,8.16,0.009615385
1949-12,118,21.72556098,39.24,0.008474576
1950-01,115,21.44761059,32.25,0.008695652
1950-02,126,22.44994432,58.76,0.007936508
1950-03,141,23.74868417,98.81,0.007092199
1950-04,135,23.23790008,82.25,0.007407407
1950-05,125,22.36067977,56.25,0.008
1950-06,149,24.41311123,122.01,0.006711409
1950-07,170,26.07680962,189,0.005882353
1950-08,170,26.07680962,189,0.005882353
1950-09,158,25.13961018,149.64,0.006329114
1950-10,133,23.06512519,76.89,0.007518797
1950-11,114,21.3541565,29.96,0.00877193
1950-12,140,23.66431913,96,0.007142857
1951-01,145,24.08318916,110.25,0.006896552
1951-02,150,24.49489743,125,0.006666667
1951-03,178,26.68332813,216.84,0.005617978
1951-04,163,25.53429067,165.69,0.006134969
1951-05,172,26.2297541,195.84,0.005813953
1951-06,178,26.68332813,216.84,0.005617978
1951-07,199,28.21347196,296.01,0.005025126
1951-08,199,28.21347196,296.01,0.005025126
1951-09,184,27.12931993,238.56,0.005434783
1951-10,162,25.45584412,162.44,0.00617284
1951-11,146,24.16609195,113.16,0.006849315
1951-12,166,25.76819745,175.56,0.006024096
1952-01,171,26.15339366,192.41,0.005847953
1952-02,180,26.83281573,224,0.005555556
1952-03,193,27.78488798,272.49,0.005181347
1952-04,181,26.90724809,227.61,0.005524862
1952-05,183,27.05549852,234.89,0.005464481
1952-06,218,29.52964612,375.24,0.004587156
1952-07,230,30.33150178,429,0.004347826
1952-08,242,31.11269837,485.64,0.004132231
1952-09,209,28.91366459,336.81,0.004784689
1952-10,191,27.64054992,264.81,0.005235602
1952-11,172,26.2297541,195.84,0.005813953
1952-12,194,27.85677655,276.36,0.005154639
1953-01,196,28,284.16,0.005102041
1953-02,196,28,284.16,0.005102041
1953-03,236,30.72458299,456.96,0.004237288
1953-04,235,30.65941943,452.25,0.004255319
1953-05,229,30.2654919,424.41,0.004366812
1953-06,243,31.17691454,490.49,0.004115226
1953-07,264,32.49615362,596.96,0.003787879
1953-08,272,32.984845,639.84,0.003676471
1953-09,237,30.78960864,461.69,0.004219409
1953-10,211,29.05167809,345.21,0.004739336
1953-11,180,26.83281573,224,0.005555556
1953-12,201,28.35489376,304.01,0.004975124
1954-01,204,28.56571371,316.16,0.004901961
1954-02,188,27.4226184,253.44,0.005319149
1954-03,235,30.65941943,452.25,0.004255319
1954-04,227,30.13303835,415.29,0.004405286
1954-05,234,30.59411708,447.56,0.004273504
1954-06,264,32.49615362,596.96,0.003787879
1954-07,302,34.75629439,812.04,0.003311258
1954-08,293,34.23448554,758.49,0.003412969
1954-09,259,32.18695388,570.81,0.003861004
1954-10,229,30.2654919,424.41,0.004366812
1954-11,203,28.4956137,312.09,0.004926108
1954-12,229,30.2654919,424.41,0.004366812
1955-01,242,31.11269837,485.64,0.004132231
1955-02,233,30.52867504,442.89,0.004291845
1955-03,267,32.68026928,612.89,0.003745318
1955-04,269,32.80243893,623.61,0.003717472
1955-05,270,32.86335345,629,0.003703704
1955-06,315,35.4964787,892.25,0.003174603
1955-07,364,38.15756806,1224.96,0.002747253
1955-08,347,37.25587202,1104.09,0.002881844
1955-09,312,35.32704347,873.44,0.003205128
1955-10,274,33.10589071,650.76,0.003649635
1955-11,237,30.78960864,461.69,0.004219409
1955-12,278,33.346664,672.84,0.003597122
1956-01,284,33.70459909,706.56,0.003521127
1956-02,277,33.28663395,667.29,0.003610108
1956-03,317,35.60898763,904.89,0.003154574
1956-04,313,35.38361203,879.69,0.003194888
1956-05,318,35.665109,911.24,0.003144654
1956-06,374,38.67815921,1298.76,0.002673797
1956-07,413,40.64480287,1605.69,0.002421308
1956-08,405,40.24922359,1540.25,0.002469136
1956-09,355,37.68288736,1160.25,0.002816901
1956-10,306,34.98571137,836.36,0.003267974
1956-11,271,32.92415527,634.41,0.003690037
1956-12,306,34.98571137,836.36,0.003267974
1957-01,315,35.4964787,892.25,0.003174603
1957-02,301,34.69870315,806.01,0.003322259
1957-03,356,37.73592453,1167.36,0.002808989
1957-04,348,37.30951621,1111.04,0.002873563
1957-05,355,37.68288736,1160.25,0.002816901
1957-06,422,41.08527717,1680.84,0.002369668
1957-07,465,43.12771731,2062.25,0.002150538
1957-08,467,43.22036557,2080.89,0.002141328
1957-09,404,40.19950248,1532.16,0.002475248
1957-10,347,37.25587202,1104.09,0.002881844
1957-11,305,34.92849839,830.25,0.003278689
1957-12,336,36.66060556,1028.96,0.00297619
1958-01,340,36.87817783,1056,0.002941176
1958-02,318,35.665109,911.24,0.003144654
1958-03,362,38.05259518,1210.44,0.002762431
1958-04,348,37.30951621,1111.04,0.002873563
1958-05,363,38.10511777,1217.69,0.002754821
1958-06,435,41.71330723,1792.25,0.002298851
1958-07,491,44.31703961,2310.81,0.00203666
1958-08,505,44.94441011,2450.25,0.001980198
1958-09,404,40.19950248,1532.16,0.002475248
1958-10,359,37.89459064,1188.81,0.002785515
1958-11,310,35.21363372,861,0.003225806
1958-12,337,36.7151195,1035.69,0.002967359
1959-01,360,37.94733192,1196,0.002777778
1959-02,342,36.98648402,1069.64,0.002923977
1959-03,406,40.29888336,1548.36,0.002463054
1959-04,396,39.79949748,1468.16,0.002525253
1959-05,420,40.98780306,1664,0.002380952
1959-06,472,43.45112196,2127.84,0.002118644
1959-07,548,46.81879964,2903.04,0.001824818
1959-08,559,47.28636167,3024.81,0.001788909
1959-09,463,43.03486958,2043.69,0.002159827
1959-10,407,40.348482,1556.49,0.002457002
1959-11,362,38.05259518,1210.44,0.002762431
1959-12,405,40.24922359,1540.25,0.002469136
1960-01,417,40.84115571,1638.89,0.002398082
1960-02,391,39.54743987,1428.81,0.002557545
1960-03,419,40.93897898,1655.61,0.002386635
1960-04,461,42.94182111,2025.21,0.002169197
1960-05,472,43.45112196,2127.84,0.002118644
1960-06,535,46.26013402,2762.25,0.001869159
1960-07,622,49.87985565,3768.84,0.001607717
1960-08,606,49.2341345,3572.36,0.001650165
1960-09,508,45.07771068,2480.64,0.001968504
1960-10,461,42.94182111,2025.21,0.002169197
1960-11,390,39.49683532,1421,0.002564103
1960-12,432,41.56921938,1766.24,0.002314815
,,,,
International airline passengers: monthly totals in thousands. Jan 49 ? Dec 60,,,,
